"Date","total_precip_mm","minTemp_C","maxTemp_C","AveTemp_C"
2012-01-01,1.5,-0.151,8.159,3.539
2012-01-02,3.1,-0.633,6.819,2.623
2012-01-03,16.9,5.061,8.159,6.288
2012-01-04,18.5,7.86,10.221,8.731
2012-01-05,2.4,4.482,8.365,6.084
2012-01-06,1.8,0.814,4.653,2.317
2012-01-07,4.6,4,4.963,4.15
2012-01-08,1.4,5.64,7.025,5.982
2012-01-09,0.5,4.772,9.602,6.797
2012-01-10,0.2,-2.371,5.684,1.095
2012-01-11,0.3,-3.529,NA,NA
2012-01-12,0.3,-3.529,4.86,0.077
2012-01-13,0.2,-3.915,2.076,-1.552
2012-01-14,1.8,NA,4.86,NA
2012-01-15,0.2,-5.942,2.488,-2.366
2012-01-16,0.3,-7.1,-0.09,-4.301
2012-01-17,2.1,-7.39,2.694,-3.079
2012-01-18,8.2,-7.486,-3.492,-6.134
2012-01-19,NA,-3.722,-1.121,-2.977
2012-01-20,20,-2.081,1.973,-0.636
2012-01-21,5.5,0.911,6.612,3.335
2012-01-22,12.1,0.718,5.581,2.724
2012-01-23,1.6,-0.054,NA,NA
2012-01-24,21.2,NA,10.221,NA
2012-01-25,8.3,2.745,8.159,5.066
2012-01-26,3.1,0.911,7.85,3.946
2012-01-27,0.3,-1.405,5.684,1.604
2012-01-28,1.8,0.525,3.519,1.604
2012-01-29,12.5,2.841,9.706,5.881
2012-01-30,0.3,5.93,9.706,7.51
2012-01-31,5.3,4.193,7.231,5.372
2012-02-01,3.7,1.49,9.602,5.066
2012-02-02,0.3,2.069,9.499,5.372
2012-02-03,0.2,-1.309,9.602,3.641
2012-02-04,0.2,-1.792,7.025,2.113
2012-02-05,0.3,-2.081,8.984,2.928
2012-02-06,0.2,-1.985,10.53,3.742
2012-02-07,0.2,-1.019,13.521,5.677
2012-02-08,8.6,4.579,7.334,5.575
2012-02-09,11.9,6.992,7.643,7.001
2012-02-10,8.1,7.185,10.221,8.426
2012-02-11,1.3,6.219,7.643,6.593
2012-02-12,3.1,5.93,6.819,6.084
2012-02-13,0.2,2.359,8.984,5.27
2012-02-14,0.2,0.235,8.262,3.742
2012-02-15,0.2,-2.274,9.499,3.03
2012-02-16,4.4,4.096,5.375,4.353
2012-02-17,6.9,5.061,6.303,5.372
2012-02-18,14.3,1.876,7.85,4.455
2012-02-19,0.3,0.042,6.715,2.928
2012-02-20,1,3.42,5.788,4.252
2012-02-21,1.1,4.772,10.634,7.306
2012-02-22,0.2,4.482,9.602,6.695
2012-02-23,0.2,-0.537,9.499,3.946
2012-02-24,18.5,3.131,5.581,3.946
2012-02-25,0.8,1.297,7.437,3.946
